gene	conMean	treatMean	logFC	pValue	fdr
EMC6	9.80740681451302	2.42823996897188	-2.01396072065878	4.89484099233015e-52	3.82865675707058e-51
NPC1L1	0.36311255984231	5.28898589943657	3.86450239106807	8.38370315220416e-48	3.32440952775023e-47
DCLRE1C	1.35189562626609	1.38500214399934	0.0349044376103715	0.801793189180064	0.804387018250346
MYO5A	1.55538440858379	2.12681270960455	0.451421810780579	1.92602707384741e-13	2.58992564541996e-13
RPL36	138.249841718883	102.881942304851	-0.426288044102665	5.3500465194053e-26	9.16479221739954e-26
EIF1AD	4.43263481386212	5.84978505176275	0.400219104539356	6.51019716171182e-38	1.52224383942288e-37
HSPB9	0.65667302712389	0.3496989555224	-0.90906171067507	1.19126307302638e-25	2.02541439004709e-25
SMPD4BP	4.51721678960808	4.1112523851862	-0.135856212990904	0.000601216232412629	0.000665852995414679
ABCC5	3.8399106899393	3.01293980316801	-0.349900907612725	1.08714918933735e-17	1.57927716261988e-17
XPNPEP2	0.230837575879827	0.723528888508085	1.64817253486289	0.510674128386204	0.516324462036908
TERF1	3.51272813181807	2.01271632629907	-0.803448071156663	1.48337292630439e-49	7.12415777299966e-49
AKIRIN1	5.12769995991377	12.1200874149244	1.24101635185676	3.21868372254187e-53	4.32918506472987e-52
OLFML1	1.04366413364461	3.72369216385602	1.83507630453268	1.15211240014756e-43	3.42372077796463e-43
VSIR	4.97678164596423	10.0455752246405	1.0132751813832	3.70996402044566e-41	9.79535054939946e-41
CYRIA	1.00398910579723	2.5174199614395	1.32620229527212	2.84754575620466e-38	6.7297556960805e-38
CERK	7.42219710336168	9.20731254579539	0.310933806543903	8.37856613800323e-07	9.91048080201029e-07
B3GNT9	1.38933835214205	4.89697377084133	1.81749248025013	2.05143874074319e-54	5.4111984000351e-53
AC108463.1	0.146483006458329	1.47567266919749	3.33256752917343	2.71171664558312e-51	1.73402461788319e-50
AP000446.1	0.607723704994655	0.0184033696998441	-5.04537371063383	1.13843039322737e-55	8.23711448117696e-54
ADAM23	0.293517280557985	1.03243343316479	1.8145314176345	5.91315718615454e-37	1.3399359508845e-36
ACOT1	1.16475496444756	1.48336138005797	0.348843633889557	1.5964541308673e-07	1.91662408827439e-07
AL020996.1	0.660880037812814	0.254383100289096	-1.37738558947993	1.11814807340597e-46	4.0280487354007e-46
AC005534.2	0.186227159378453	0.273318019617474	0.553517087656891	2.69565458808121e-06	3.15119096307449e-06
LOXL4	2.37997142895662	7.88756723740906	1.72863614397805	1.88978335014994e-32	3.75881599399661e-32
TMEM167B	4.93081381474217	8.08769346296359	0.713902539367667	2.97224028042984e-49	1.37302609569213e-48
AC011290.2	0.903464491153863	0.685712504974447	-0.397864067884649	1.56450035575291e-11	2.03299630408242e-11
PFKFB1	0.584807405903918	0.240168226632704	-1.28391628100203	9.6183813827948e-30	1.7919236235954e-29
IRF3	19.8817966386066	12.5449283972012	-0.664343897096272	1.0429341193878e-33	2.14831624129505e-33
UBE2D3-AS1	0.611931187115237	1.09391715240669	0.838062146840415	1.88209635717758e-36	4.19932748365684e-36
AQR	4.00938481551783	2.81518953219981	-0.510148837324049	7.77565466594651e-43	2.2090508563906e-42
MRPL58	6.82908350871081	9.25098944144747	0.437915701764457	5.01586047493943e-22	7.9281581514699e-22
AL121753.1	0.0982527811245017	0.446931102822386	2.18548229852476	1.52612012340683e-40	3.93190470246504e-40
PAPPA2	0.378721438482456	1.46339555771089	1.95011078848505	0.619081238820235	0.623804956060421
PRDM4	3.38399589642175	4.98754315624153	0.559601505763596	4.43046085135655e-46	1.53137962576675e-45
SLC38A5	59.1426685980057	8.67188756242538	-2.7697813850037	1.28106605393763e-49	6.21230539162505e-49
MUC15	1.1595177016952	0.82780026198772	-0.486170234679497	5.30344375006699e-12	6.949820110123e-12
CCDC39	0.694885792476941	0.421546437614415	-0.721084316662606	1.23603842596476e-26	2.14541706844483e-26
GLTPD2	0.227691619048003	0.845198664781511	1.89220929891708	5.98129084414966e-41	1.56601486683166e-40
SMUG1	7.77522909031601	4.27818844350846	-0.861885152602056	2.81431362027739e-48	1.16238942194154e-47
ASPRV1	0.345792066109619	0.739876094160494	1.09737891718122	1.01542528572764e-39	2.52551767819047e-39
AL139287.1	3.71976827162485	4.5329298555819	0.285231087194546	1.02884855300632e-06	1.21450409639483e-06
SLC22A3	0.410356237022574	4.81284896774342	3.55194236456487	4.42625494455468e-50	2.28736456860035e-49
AC133065.3	1.1137725005388	2.15543440021129	0.952524077829677	6.84848708751286e-26	1.16964273837548e-25
AC005393.1	0.484966636611427	0.637656947966998	0.394894979333204	0.259440231706833	0.265099945227993
C2orf88	3.24338779417093	1.45462379324869	-1.15685544954046	1.1909774462013e-33	2.44760214320225e-33
AC008443.1	3.09467639467815	0.619406009156341	-2.32083127255856	2.47665999714229e-51	1.59872637545765e-50
C1orf131	4.23039882366303	2.1217275084682	-0.995554296652257	2.76426557577261e-49	1.2822441229051e-48
AC013489.3	0.985008359648202	0.10996861077525	-3.16304418613604	7.30222522934104e-31	1.39352273186073e-30
LRRFIP2	6.92973174164165	3.48381822456345	-0.992130154664146	1.24540272318354e-55	8.67079875538908e-54
TRIM28	53.46763094475	33.1959177511394	-0.687659917023063	4.76307441399211e-44	1.44716298322702e-43
HMGB2P1	0.0834905975364602	0.408278431867822	2.2898677164894	1.50409179848731e-24	2.49795172602327e-24
SEL1L	42.3052058020872	11.3414885732018	-1.89922519609877	1.08153087415112e-42	3.05644835882911e-42
ZNF746	2.7452101310693	2.26931369408901	-0.274660533112259	2.59006578055599e-29	4.77916633576052e-29
MTND6P4	0.1245729100078	0.956209918716582	2.94033700101157	1.69343336091498e-37	3.90347831808206e-37
DUSP6	3.88842888695898	12.918396155844	1.73216770814546	7.01866352696138e-55	2.49004274650511e-53
PRR14L	2.31647554939931	2.91545553148968	0.331789863283018	1.13544544628891e-23	1.85205457327976e-23
SMIM25	0.654783482542862	2.63462073395427	2.00850545986996	5.57799691997037e-39	1.35359832785861e-38
SLC38A11	1.52097539686308	1.07308737833185	-0.503229261100687	8.59766535939286e-16	1.20794572202219e-15
